OBJECTID,Name,POINT_X,POINT_Y
605,Washington,-123.00472259500,48.58055496220
606,Washington,-123.00527954100,48.58055496220
607,Washington,-123.00564575200,48.58032989520
608,Washington,-123.00582885700,48.58014678960
609,Washington,-123.00602722200,48.57999801660
610,Washington,-123.00627136300,48.57986068740
611,Washington,-123.00656890900,48.57976150480
612,Washington,-123.00693512000,48.57972717320
613,Washington,-123.00734710700,48.57971954330
614,Washington,-123.00778961200,48.57973098720
615,Washington,-123.00825500500,48.57979202240
616,Washington,-123.00872039800,48.57998275780
617,Washington,-123.00920105000,48.58016967740
618,Washington,-123.00971984900,48.58034133910
619,Washington,-123.01025390600,48.58051681480
620,Washington,-123.01083374000,48.58055496220
621,Washington,-123.01194763100,48.57944488500
622,Washington,-123.01222229000,48.57944488500
623,Washington,-123.01249694800,48.57916641260
624,Washington,-123.01277923500,48.57944488500
625,Washington,-123.01305389400,48.57944488500
626,Washington,-123.01333618200,48.57972335820
627,Washington,-123.01667022700,48.57972335820
628,Washington,-123.01694488500,48.57944488500
629,Washington,-123.01721954400,48.57944488500
630,Washington,-123.01750183100,48.57972335820
631,Washington,-123.01750183100,48.58027648900
632,Washington,-123.01583099400,48.58194351190
633,Washington,-123.01527404700,48.58194351190
634,Washington,-123.01499939000,48.58222198520
635,Washington,-123.01444244300,48.58222198520
636,Washington,-123.01416778600,48.58194351190
637,Washington,-123.01361083900,48.58194351190
638,Washington,-123.01333618200,48.58166503950
639,Washington,-123.01277923500,48.58166503950
640,Washington,-123.01261901900,48.58182144150
641,Washington,-123.01249694800,48.58194351190
642,Washington,-123.01249694800,48.58222198520
643,Washington,-123.01212310800,48.58240890470
644,Washington,-123.01219940200,48.58302688560
645,Washington,-123.01228332500,48.58316421480
646,Washington,-123.01249694800,48.58351135220
647,Washington,-123.01289367700,48.58385848960
648,Washington,-123.01332092300,48.58417129540
649,Washington,-123.01371002200,48.58452987670
650,Washington,-123.01388549800,48.58444595370
651,Washington,-123.01388549800,48.58472061120
652,Washington,-123.01416778600,48.58499908440
653,Washington,-123.01416778600,48.58527755770
654,Washington,-123.01444244300,48.58555603010
655,Washington,-123.01416778600,48.58583450340
656,Washington,-123.01416778600,48.58611297570
657,Washington,-123.01149749700,48.58737945590
658,Washington,-123.01136779800,48.58744049110
659,Washington,-123.01107025100,48.58726501450
